term,definition,scales,occurrences
Animate,Alive; possessing life.,The Scale Of Spiritual Identity,1
Another example,"Governments routinely attempt to enforce participation at Level III on all of their citizens, despite the fact that most of them are not up to it. Do you see how income taxes and conscription are thusly destructive to much of the populace of a Keep in mind that this is a general scale, so advancement from one level up to the next generally takes years, and can only be achieved as a result of life-changing experiences. A psychotherapist or facilitator who can get a client up one level, and stable at the new level, is worth his or her weight in gold. As a person declines in life, (s)he will inevitably descend this scale. As a person advances in life, (s)he will inevitably ascend this scale. This scale provides one of the few foolproof ways to judge a person's overall development and worth. Where are you on this scale? Where are your friends and associates? Does this explain their behavior to you? Can you see their",The Scale Of Government,1
Antagonist,"A person who fights, struggles or contends against another; adversary; opponent.",The Scale Of Politics,1
Anthropo-centric,Having or regarding mankind as the center of all worldly things.,The Scale Of Life Spheres,1
Antipathy,A basic or habitual repugnance; aversion.,The Scale Of Permeation,1
Anxious,"Full of anxiety or worry due to apprehension or anticipation of danger or misfortune. Ascribing (one's acts, opinions, etc.) to causes that seem valid but actually are not the true, possibly unconscious causes; inven",The Scale Of Reaction,1
Apathetic,Having or showing little interest or concern; unresponsive; uninterested.,The Scale Of Stopping,1
Artery,A blood vessel that conveys blood from the heart to any part of the body.,The Scale Of Justification,1
Artist,A person having superior skill or ability or capable of superior workmanship.,The Scale Of Human Ability,1
Arts,Activities engaged in the production of objects or activities considered to be beautiful.,The Scale Of Civilization,1
Associate,"To connect, or bring into relation, as thought, feeling, memory, etc.",The Scale Of Thought,1
Association,"Connecting or bringing into relation; joining as a companion, partner or ally.",The Scale Of Relationships,1
Atheist,"A person who denies the existence of God, or gods, or a Deity, or divine beings.",The Scale Of Permeation,1
Athletic,"Of, like, or befitting one who competes in contests involving physical ability; physically active and strong.",The Scale Of Physical Fitness,1
Attack,"To set upon forcefully, violently, hostilely, or aggressively; to begin hostilities against; to direct unfavorable criticism against; assault.",The Scale Of Attack,1
Authentic,"Worthy of acceptance, trust or belief; reliable.",The Scale Of Politics,1
Automaticity,A reaction which occurs independent of volition; an involuntary response.,The Scale Of Mental Deletion,1
Avalanche,A large mass detached from an even larger mass and falling suddenly downward.,The Scale Of Mental Deletion,1
Average,Typical; common; ordinary.,The Scale Of Scholarship,1
Avid,Keenly desirous; eager; enthusiastic; ardent.,The Scale Of Scholarship,1
Avidity,Eagerness; keen desire; enthusiasm; avidness.,The Scale Of Evaluation,1
Behavior,One's actions before or toward others; manner of behaving or acting.,The Scale Of Justification,1
Being,Occupying a space or position; existing; occurring | Person; something that exists.,The Scale Of Communication | The Scale Of Spiritual Identity,2
Belief,An opinion or conviction; acceptance of or confidence in an alleged fact or body of facts true or right without positive knowledge or proof; faith or trust.,The Scale Of Belief,1
Belligerence,Warlike nature; aggressive hostility; avidity for conflict.,The Scale Of Attack,1
Bipartisan,Of or involving the agreement or cooperation of political parties that usually oppose each other's policies.,The Scale Of Politics,1
Bothered,Troubled; pestered; annoyed; disturbed; harassed.,The Scale Of Reaction,1
Bravery,Courage; valor; intrepidness; fearlessness; boldness.,The Scale Of Attack,1
Brilliant,Having or showing great intelligence or talent; distinguished; illustrious; bright.,The Scale Of Literacy,1
Calmness,"Tranquility; freedom from or absence of agitation, excitement or passion; serenity.",The Scale Of Equanimity,1
Can,"To be able to; have the ability, power or skill to.",The Scale Of Sexuality,1
Cash,"Money in the form of negotiable paper or coin, especially that of a government",The Scale Of Exchange,1
Cause,"A person or thing that acts, happens, or exists in such a way that some specific thing happens as a result; the producer of an effec | The producer of an effect; an agency that creates an effect.",The Scale Of Personal Influence | The Scale Of Spiritual Identity,2
Cautious,Manifesting or characterized by alertness and prudence; careful; wary; circumspect.,The Scale Of Government,1
Centrist,Someone who has very moderate political views.,The Scale Of Politics,1
Certain,Free from doubt or reservation; sure.,The Scale Of Identity,1
Challenge,A difficulty in a job or undertaking that is stimulating to one engaged in it,The Scale Of Life Spheres,1
Chaos,"A state of utter confusion or disorder; any confused, disorderly mass or condition.",The Scale Of Identity,1
Charity,Beneficence; benevolence; generosity; kindness.,The Scale Of Motivation,1
Choice,The right or opportunity to choose; the act or an instance of choosing; selection.,The Scale Of Choice,1
Chronic,Continuing a long time or occurring frequently; having long duration; constant.,The Scale Of Stopping,1
Civilization,"An advanced state of human activity, in which a high level of culture has been reached.",The Scale Of Civilization,1
Civilized,Having an advanced culture or society.,The Scale Of Literacy,1
Clandestine,"Done in secrecy or concealment, esp. for purposes of subversion or deception; private or surreptitious.",The Scale Of Allegiance,1
Cognoscenti,Those who have superior knowledge and understanding of a particular field.,The Scale Of Thought,1
Coin,A piece of metal stamped and issued by the authority of a government for use as money.,The Scale Of Exchange,1
Collapsing,Falling or caving in; crumbling suddenly; breaking down; suddenly and completely failing.,The Scale Of Survival,1
Collectivism,The state of acting as a group; the principle of centralized social and economic control.,The Scale Of Choice,1
Communication,"The imparting or interchange of thoughts, opinions, or information by speech, writing, etc.; the interchange of particles of any k between any two or more terminals.",The Scale Of Management,1
Compare,To examine for the purpose of noting similarities and differences.,The Scale Of Thought,1
Competence,"Suitableness or sufficiency of skill, knowledge, experience, etc., for some purpose.",The Scale Of Control,1
Complete,Thorough; entire; unmodified.,The Scale Of Choice,1
Composure,Self-control; presence of mind.i,The Scale Of Communication,1
Comprehension,The act or process of grasping with the mind; understanding; ability to grasp ideas or know.,The Scale Of Literacy,1
Compulsion,"A strong, usually irresistible impulse to perform an act; an obsessive need to achieve some specific end. | A very strong, often irresistible, impulse to perform an act that is contrary to one's will.",The Scale Of Control | The Scale Of Permeation,2
Compulsive,Governed by an obsessive need to achieve some desired ideal.,The Scale Of Stopping,1
Computation,Calculation; determination by calculation; reckoning.,The Scale Of Justification,1
Conceptualism,The quality or fact of being interested in or concerned with concepts or ideas.,The Scale Of Civilization,1
Condoning,"Overlooking, or implied forgiving or pardoning; condonation.",The Scale Of Evaluation,1
Confidence,Certitude; assurance; trust.,The Scale Of Belief,1
Conflict,A battle or struggle; strife; controversy; quarrel; opposition; fight; contention.,The Scale Of Conflict,1
Conformity,"Corresponding in form or character; agreement, congruity or accordance.",The Scale Of Basic Purposes,1
Congruence,The quality or state of agreeing or corresponding; accordance; agreement.,The Scale Of Identity,1
Conquest,The act or conquering.,The Scale Of Basic Purposes,1
Consumer,A person who purchases or uses a commodity or service.,The Scale Of Human Ability,1
Contrition,"Sincere penitence or remorse; sorrow for and detestation of wrongfulness, with a true purpose of amendment.",The Scale Of Identity,1
Control,"The exercise of restraint, power, or direction over; intentional creation of an effect; command.",The Scale Of Control,1
Conveying,Imparting; transfer from one place to another.,The Scale Of Communication,1
Conviction,A fixed belief; the state of being convinced.,The Scale Of Memory,1
Counting,Checking over to determine the total number; enumeration; reckoning up; computation.,The Scale Of Mental Deletion,1
Courageous,Unafraid to face extreme dangers and difficulties; brave; valiant.,The Scale Of Attack,1
Cowardly,Lacking courage; contemptibly timid; weakly or basely fearful in the presence of danger.,The Scale Of Attack,1
Create,To cause to come into being; to evolve from a person's own thought or imagination.,The Scale Of Thought,1
Creation,The act of causing something to come into being; origination; invention; production. | The act of producing or causing to exist; the original bringing into existence of something.,The Scale Of Control | The Scale Of Management,2
Credit,Confidence in a purchaser's ability and intention to pay later.,The Scale Of Exchange,1
Crime,"Any serious violation of human laws; any offense, esp. one of a grave character. Cut the Gordian knot, idiom: To solve a problem quickly and boldly.",The Scale Of Basic Purposes,1
Critical,"Inclined to find fault or judge with severity, often too readily; carping; fault finding.",The Scale Of Reaction,1
Cynicism,Disbelief in the sincerity of human motives; the belief that only selfishness motivates human actions and disbelief in or minimization of selfless acts or disinterested points of view.,The Scale Of Belief,1
Deletion,Act of deleting; erasure.,The Scale Of Mental Deletion,1
Delusion,"A fixed, dominating, or persistent false mental conception resistant to reason; a false belief or opinion. form of mental illness, marked by delusions of greatness, wealth, e",The Scale Of Stopping,1
Delusional,False; believed in while not conforming to or corresponding to reality or actuality;,The Scale Of Memory,1
Democracy,Government by the people; a state in which the supreme power is vested in its citizens and exercised directly by them rather t by elected representatives.,The Scale Of Government,1
Denial,Refusal to recognize or acknowledge; disbelief in the existence or reality of a thing.,The Scale Of Memory,1
Deny,To state that something is not true; to refuse to recognize or acknowledge; disown.,The Scale Of Thought,1
Desire,A longing or craving; a strong feeling that impels to the attainment or possession of something; a wish.,The Scale Of Sexuality,1
Despair,Total loss abandonment of hope; hopelessness; despondency.,The Scale Of Justification,1
Destroy,To injure beyond repair or renewal; to put an end to; extinguish; to kill.,The Scale Of Basic Purposes,1
Detrimental,Damaging; injurious; harmful.,The Scale Of Allegiance,1
Devotion,Profound dedication; earnest attachment.,The Scale Of Sexuality,1
Differentiate,To perceive the difference in or between; distinguish; to note or observe a difference.,The Scale Of Thought,1
Dilettante,A person who takes up an activity or subject merely for amusement; a dabbler.,The Scale Of Human Ability,1
Direction,"The line along which anything lies, faces, moves, etc., with reference to the point or region toward which it is directed.",The Scale Of Identity,1
Disassociate,Dissociate; to severe the association of; disunite; separate; to withdraw from.,The Scale Of Thought,1
Disassociation,Disunited; separate; withdrawn from association.,The Scale Of Relationships,1
Disbelief,Refusal to believe or to accept as true; denial.,The Scale Of Belief,1
Dislike,"To regard with displeasure, antipathy, or aversion.",The Scale Of Relationships,1
Disown,To refuse to acknowledge as belonging or pertaining to oneself; repudiate.,The Scale Of Control,1
Divine,"Godlike; of, pertaining to, or proceeding from a deity.",The Scale Of Spiritual Identity,1
Dominance,Rule; control; authority; a commanding position; mastery. Gaining victory; overcoming adversity; succeeding by striving or effort.,The Scale Of Conflict,1
Dove,Person who is eager for peace; person who advocates a peaceful solution to a conflict.,The Scale Of Politics,1
Duplicate,To make a perfect copy of; to make exactly like something else; to recreate.,The Scale Of Thought,1
Duplication,The act of copying exactly; correspondence in all respects to something else.,The Scale Of Relationships,1
Duty,The binding or obligatory force of something that is morally or legally right; obligation.,The Scale Of Motivation,1
Dysfunctional,Malfunctioning; not working properly; seriously impaired.,The Scale Of Physical Fitness,1
Effect,Something that is produced by an agency or cause; result; that which is caused.,The Scale Of Spiritual Identity,1
Eidetic,"Of, pertaining to, or constituting visual imagery retained in the memory and readily reproducible with great accuracy and in g",The Scale Of Memory,1
Embrace,To take or receive gladly or eagerly; accept willingly; to include or contain.,The Scale Of Life Spheres,1
Emotional,"Of, pertaining to, or having to do with an affective state of consciousness, as distinguished from cognitive and volitional state consciousness, which is a subjective response.",The Scale Of Equanimity,1
Empathy,"Intellectual identification with or vicarious experiencing of the feelings, thoughts, or attitudes of another person.",The Scale Of Permeation,1
Encouragement,"The act of inspiring with courage, spirit or confidence; the act of emboldening or reassuring. | The act of inspiring with courage, spirit, or confidence; reassurance; approval.",The Scale Of Communication | The Scale Of Evaluation,2
Energetic,Possessing or exhibiting energy; vigorous.,The Scale Of Physical Fitness,1
Enmity,A feeling or condition of hostility; hatred; ill will; animosity; antagonism,The Scale Of Relationships,1
Entrapment,The state of being caught in or as in a trap; ensnarement.,The Scale Of Stopping,1
Enumeration,Ascertainment of the number of; counting; establishment of the numerousness of.,The Scale Of Mental Deletion,1
Equanimity,Composure; equilibrium; even-temperedness; mental balance and stability.,The Scale Of Equanimity,1
Equate,"To regard, treat, or represent as equivalent; to state the equality of or between.",The Scale Of Thought,1
Equilibrium,"A state of rest or balance due to the equal action of opposing forces; equal balance between powers, influences, etc.; equalit Being defeated; suffering loss; suffering defeat in a contest, battle, contention, etc.",The Scale Of Conflict,1
Establish,To bring into being on a firm or permanent basis; found; institute.,The Scale Of Human Ability,1
Establishment,"Foundation; institution; formation; the act of bringing into being on a firm or permanent basis; the setting up of an organizat business, corporation, institution, etc.",The Scale Of Management,1
Ethno-Centric,Having or regarding one's culture as the center of all worldly things.,The Scale Of Life Spheres,1
etrayal,"ack of perception of time, space, or identity; a lack of orientatior",The Scale Of Identity,1
Evaluation,Determination or setting the value of; appraisal; a judgement as to validity or worth.,The Scale Of Evaluation,1
Exchange,To part with for something equivalent; give up (something) for something else. | To part with for something equivalent; give up for something else; transfer for recompense.,The Scale Of Exchange | The Scale Of Motivation,2
Expert,A person who has special skill or knowledge in some particular field; an authority.,The Scale Of Human Ability,1
Expression,Utterance; declaration; statement; assertion; putting into words.,The Scale Of Communication,1
Extremist,Supporter of extreme doctrines or practices.,The Scale Of Politics,1
Extroversion,"The direction of interest outward or to objects outside the self, as toward the external environment.",The Scale Of Identity,1
Facile,Appearing neat and comprehensive only by ignoring the true complexities of an issue; superficial.,The Scale Of Scholarship,1
Facilitator,"A practitioner in the field of human development or psychotherapy who personally and skillfully assists the progress of aspirant, student, or patient.",The Scale Of Belief,1
Faith,Belief that is not based on proof; confidence or trust,The Scale Of Belief,1
Falsity,Incorrectness; untruthfulness; the quality or condition of being false; erroneousness.,The Scale Of Memory,1
Fame,"Widespread reputation, especially of a favorable character; renown; public eminence.",The Scale Of Motivation,1
Fear,"A distressing emotion aroused by an impending pain, danger, evil, etc., or by the illusions of such; anxiety; an attitude tow something which, when experienced, causes the sensation of fright.",The Scale Of Attack,1
Finance,The management of revenues; the conducting or transaction of money matters.,The Scale Of Management,1
Fitness,Good physical condition or health; vigor; ability.,The Scale Of Physical Fitness,1
Fixed,Unchanging or unchanged; predetermined; rigid; definite.,The Scale Of Justification,1
For example,Forcing someone to date (Level V) who really needs to focus on self (Level VI).,The Scale Of Government,1
Forgiveness,Absolution; granting free pardon for or remission of; cessation of resentment. Looking at; seeing; inspecting.,The Scale Of Justification,1
Forgotten,"Not remembered; omitted from memory; that has ceased, or failed to be, remembered.",The Scale Of Memory,1
Free,Unrestricted; at liberty; independent; unfettered; uncontrolled.,The Scale Of Spiritual Identity,1
Freedom,"Power of determining one's own action; exemption from external control, interference, etc. | The state of being at liberty; exemption from external control; power of determining one's own action; opportunity for the exercise of one's rights, powers, desires, etc.",The Scale Of Choice | The Scale Of Stopping,2
Friendship,Friendly feeling or disposition; a feeling of personal attachment to another; association as friends.,The Scale Of Relationships,1
Game,"An amusement or pastime; a competitive activity involving skill, chance, and/or endurance on the part of two or more parties v play according to a set of rules. Romance, affair, an ardent, passionate, or fervent relationship between sexual partners or aspiring sexual partners.",The Scale Of Sexuality,1
Geneva Convention,"An international agreement first made in Geneva, Switzerland, in 1864 and followed by many nations, establishing rules for the humane treatment of prisoners of war and of the sick, the wounded, and the dead in battle. Man about town, idiom: A socially active, sophisticated man; playboy.",The Scale Of Allegiance,1
Genius,"A person of exceptional natural capacity or ability, as shown in creative or original work",The Scale Of Human Ability,1
Ghost,A spiritual being; soul; spirit; an incorporeal person.,The Scale Of Spiritual Identity,1
God,The Supreme Being; a deity.,The Scale Of Spiritual Identity,1
Government,"The political control exercised over the actions of the citizens or inhabitants of societies, communities, and states; the system of by which a state, community, etc., is governed.",The Scale Of Government,1
Group-Centric,Having or regarding one's group as the center of all worldly things.,The Scale Of Life Spheres,1
Grown-up,Having reached maturity; adult; fully grown.,The Scale Of Equanimity,1
Handling,The manner of treating or dealing with something; management; treatment.,The Scale Of Communication,1
Harmonic,"One of a series of vibrations, each of which has a frequency that is an integral multiple of the same basic frequency.",The Scale Of Memory,1
Harmony,"Agreement; accord; a consistent, orderly, or pleasing arrangement of parts.",The Scale Of Relationships,1
Hatred,"Intense dislike, aversion, or hostility; animosity; detestation; loathing.",The Scale Of Relationships,1
Have,"To possess or own; to get, receive, or take; to partake of.",The Scale Of Sexuality,1
Hawk,A person who advocates a warlike or military solution to a conflict.,The Scale Of Politics,1
Healthy,Possessing or enjoying good health; not sick.,The Scale Of Physical Fitness,1
Heroism,"Valor; the qualities or attributes of a person of distinguished courage or ability, admired for his brave deeds and noble qualities.",The Scale Of Allegiance,1
Honor,"A fine sense of, and strict conformity to, what is considered morally right or due.",The Scale Of Exchange,1
Human,"Of, pertaining to, or characteristic of mankind.",The Scale Of Human Ability,1
Humanity,The human race; mankind; all human beings regarded collectively.,The Scale Of Life Spheres,1
Humility,"The quality or condition of being humble; modest sense of one's own importance, rank, etc.",The Scale Of Basic Purposes,1
Hysteria,"A psychoneurotic disorder characterized by violent emotional outbreaks, disturbances of sensory and motor functions, and vari abnormal effects due to autosuggestion.",The Scale Of Attack,1
Idea,Any conception existing in the mind as a result of understanding or awareness; a thought.,The Scale Of Justification,1
Idee Fixe,Fixed idea (French).,The Scale Of Justification,1
Identify,"To make, represent to be, or regard or treat as the same or identical.",The Scale Of Thought,1
Identity,Condition or character as to who a person or what a thing is; whom or what you think you are.,The Scale Of Identity,1
Ignoramus,An ignorant person.,The Scale Of Human Ability,1
Ignore,To refrain from noticing or recognizing; overlook; disregard.,The Scale Of Thought,1
Immemorial,"Extending back beyond memory, record, or knowledge.",The Scale Of Allegiance,1
Immunity,Insusceptibility or resistance to disease or sickness.,The Scale Of Physical Fitness,1
Impartiality,Absence of bias or prejudice; impartialness.,The Scale Of Evaluation,1
Incident,An occurrence or event; a distinct piece of action; an episode.,The Scale Of Mental Deletion,1
Indecision,Inability to settle something in dispute or doubt.,The Scale Of Identity,1
Indestructible,That cannot be injured beyond repair or renewal; that cannot be killed or extinguished.,The Scale Of Physical Fitness,1
Indifference,Lack of interest of concern.,The Scale Of Permeation,1
Indifferent,Without interest or concern; absence of feeling or interest; unconcerned.,The Scale Of Government,1
Infallibly,Unerringly; certainly; reliably.,The Scale Of Communication,1
Infinite,Endless; innumerable; inexhaustible; unbounded; unlimited; perfect.,The Scale Of Relationships,1
Infinity,"That which is immeasurably great, unbounded, unlimited, endless, innumerable, inexhaustible, or infinite.",The Scale Of Spiritual Identity,1
Influence,The capacity or power to produce effects on others by intangible or indirect means.,The Scale Of Personal Influence,1
Ingenuousness,"Freedom from reserve, restraint, or dissimulation; artlessness; innocence; naiveté.",The Scale Of Belief,1
Inhibition,"A restraining, arresting, or checking an action, impulse, etc.",The Scale Of Control,1
Insane,Not of sound mind; mentally deranged; utterly senseless.,The Scale Of Sexuality,1
Inspection,Careful examination or scrutiny. | The act of looking at or over carefully; a close or critical viewing.,The Scale Of Communication | The Scale Of Mental Deletion,2
Inspiration,"To give rise to, bring about, or cause; to produce or arouse; to influence or impel.",The Scale Of Thought,1
Intelligence,The faculty of understanding; capacity for reasoning; quickness of comprehension; mental capacity om which one cannot extricate oneself; impossible to disengage tro,The Scale Of Scholarship,1
Interaction,An acting upon one another; reciprocal action or influence; communication with. | Communication or direct involvement with someone or something.,The Scale Of Communication | The Scale Of Management,2
Interest,"One's feelings or attitudes of concern, involvement, or curiosity, as aroused by something or someone; concern; engagement of one's attention or curiosity; desire to know about.",The Scale Of Scholarship,1
Intrinsic,Belonging to a thing by its very nature; innate.,The Scale Of Justification,1
Invincible,"Incapable of being conquered, defeated, or subdued; impossible to overcome or master.",The Scale Of Stopping,1
Inviting,"Asking or requesting participation in a kindly, courteous, or complimentary way.",The Scale Of Communication,1
Irresponsibility,The inability to respond; the inability to control: the inability to make moral decisions.,The Scale Of Choice,1
Knowledge,Clear and certain perception of fact or truth; enlightenment; comprehension; wisdom.,The Scale Of Thought,1
Law,"Jurisprudence; a system or collection of rules, principles, and regulations.",The Scale Of Civilization,1
Layman,A person who is not a member of a specified profession,The Scale Of Human Ability,1
Leader,"A guiding or directing head, as of an army, political group, etc.",The Scale Of Basic Purposes,1
Leadership,Ability to lead. The power of intelligent and dispassionate thought; sound judgement; good sense.,The Scale Of Personal Influence,1
Learn,"To acquire knowledge of or skill in by study, instruction, or experience; ascertain.",The Scale Of Thought,1
Leave,,The Scale Of Sexuality,1
Libertarian,"A person or group who advocates liberty, esp. with regard to thought or conduct.",The Scale Of Government,1
Life-Centric,Having or regarding living creatures as the center of all worldly things.,The Scale Of Life Spheres,1
Like,To take pleasure in; find agreeable or congenial to one's taste; to regard with favor.,The Scale Of Relationships,1
Literacy,"The quality or state of being literate, esp. the ability to read and write; knowledge of literature and language.",The Scale Of Literacy,1
Literate,Able to read and write; educated; knowledgeable.,The Scale Of Literacy,1
Location,The act of finding; discovery of place; ascertainment of where something is.,The Scale Of Mental Deletion,1
Logic,Reason or sound judgement; a particular method or reasoning or argumentation.,The Scale Of Personal Influence,1
Looking,Directing mental regard or attention; viewing; inspecting.,The Scale Of Mental Deletion,1
Lost,No longer possessed or retained; no longer to be found; having gone astray; destroyed.,The Scale Of Allegiance,1
Love,"A profoundly tender, passionate affection; a feeling of warm personal attachment or deep affection; affectionate concern for the well-being of another.",The Scale Of Relationships,1
Magnetism,"Attractive power or charm. Sphere of Influence, idiom: An area in which one wields power over another or others.",The Scale Of Communication,1
Management,"Handling; direction; control; administration; the activity of taking charge of or responsibility for an area, activity, gro",The Scale Of Management,1
Mania,"A form of insanity characterized by great excitement, with or without delusions, and in its acute stage by great violence.",The Scale Of Stopping,1
Market,To offer for sale in the world of commerce; to put on the marketplace.,The Scale Of Human Ability,1
Masochist,"One who receives gratification from suffering, pain, humiliation, deprivation, etc., esp. when inflicted or imposed upon oneself.",The Scale Of Attack,1
Master,A person eminently skilled in something; a person with ability or power to use or control.,The Scale Of Human Ability,1
Mastery,"Power of command or control; command or grasp, as of a subject or activity.",The Scale Of Control,1
Materialist,"One who pays inordinate attention to, or places emphasis on, material objects, needs, and considerations, with a disinterest in rejection of, spiritual values and phenomena.",The Scale Of Permeation,1
Maturity,The state of being fully developed; completeness in growth or development.,The Scale Of Equanimity,1
Maximal,Greatest possible; most; highest.,The Scale Of Identity,1
Meditation,Continuous thought; reflection; contemplation; the turning or revolving of a subject in the mind.,The Scale Of Belief,1
Memory,"The mental capacity or faculty of retaining and reviving impressions, or of recalling or recognizing previous experiences;",The Scale Of Memory,1
Mental,"Of, pertaining to, performed by or existing in that part of a person that thinks, feels and wills.",The Scale Of Mental Deletion,1
Metaphysical,"Of, pertaining to, or having to do with that branch of philosophy that treats of first principles or the ultimate nature of existe reality, and experience, esp. as developed in self-contained conceptual systems.",The Scale Of Belief,1
Method,A settled kind of procedure; means; technique; manner in which a thing is done; system.,The Scale Of Mental Deletion,1
Minimal,Least possible; smallest; lowest.,The Scale Of Scholarship,1
Misconception,An erroneous conception; mistaken notion; wrong idea. A failure to understand; mistake as to meaning; misapprehension; disagreement.,The Scale Of Aberration,1
Misdeed,An immoral or wicked deed; harmful act.,The Scale Of Aberration,1
Moderate,"1 person who hold moderate beliefs, especially in politics.",The Scale Of Politics,1
Monogamous,Practicing or advocating marriage with only one person at a time; having only one mate.,The Scale Of Allegiance,1
Morals,Rules and standards of conduct and practice; generally accepted customs of right living.,The Scale Of Civilization,1
Motivation,That which prompts one to act in a certain way or that determines volition.,The Scale Of Motivation,1
Necessary,"Being essential, indispensable, or requisite.",The Scale Of Choice,1
Need,"Requirement; necessity; want. | Urgent want, as of something requisite.",The Scale Of Attack | The Scale Of Sexuality,2
Neurotic,"Of, pertaining to, or having an emotional disorder in which feelings of anxiety, obsessional thoughts, compulsive acts, and physical complaints, without objective evidence of disease, in various patterns, dominate the personality.",The Scale Of Attack,1
Neutral,Not favoring either side or tendency; of no particular kind; indefinite.,The Scale Of Relationships,1
Neutrality,"Absence of both positivity and negativity; the state of being neutral; absence of inclination or tendency toward either side dichotomy, choice, conflict, etc.",The Scale Of Evaluation,1
New Agers,"Adherents of a diverse, late-twentieth century spiritual and philosophical movement which propounds that mankind is enterir new age in which metaphysical, paranormal, psychic, and mystical tendencies, interests, pursuits and activities will flour proliferate, and develop.",The Scale Of Belief,1
Nihilism,Total and absolute destructiveness toward the world at large and oneself.,The Scale Of Justification,1
Nihilist,"One who is extremely skeptical, esp. with regard to value statements or moral judgements; one who totally rejects established 1.",The Scale Of Permeation,1
Normal,Conforming to the standard or the common type; regular; natural; approximately average. | Conforming to the standard or the common type; usual; not abnormal; regular.,The Scale Of Basic Purposes | The Scale Of Stopping,2
Object,Thing; anything that is perceptible and is stable in form.,The Scale Of Spiritual Identity,1
Objective,Based on facts; being or belonging to the object of perception or thought.,The Scale Of Justification,1
Obligation,"That by which one is bound to do something, which arises out of a sense of duty or law.",The Scale Of Motivation,1
Oblivion,The state of being forgotten; the state of forgetting or of being mentally withdrawn.,The Scale Of Identity,1
Observing,Noticing; seeing; perceiving.,The Scale Of Communication,1
Obsession,"The domination of one's thoughts or feelings by a persistent idea, image, desire, etc. occupation or obsession; compulsive absorption or involveme",The Scale Of Relationships,1
Overwhelmed,Overpowered; crushed; destroyed; overcome completely; covered or buried beneath a mass of something.,The Scale Of Justification,1
Pacifism,Opposition to war or violence; nonresistance to aggression; unwillingness or refusal to resist violence or aggression.,The Scale Of Attack,1
Paradox,"A statement or proposition seemingly self-contradictory or absurd, but in reality expressing a possible truth; anything exhibiting apparently contradictory nature.",The Scale Of Control,1
Partisan,"A strong supporter of a person, party or cause.",The Scale Of Politics,1
Partisanship,Strong loyalty to a party or cause.,The Scale Of Politics,1
Peace,"A state of harmony among people or groups; freedom from, or cessation of, strife or dissension.",The Scale Of Conflict,1
Perception,A single unified awareness derived from sensory processes while a stimulus is present.,The Scale Of Identity,1
Peril,"Exposure to injury, loss, or destruction; risk; jeopardy; danger.",The Scale Of Survival,1
